GROUP-ID,UID,GROUP-TYPE,GROUP-NAME,LEAD-RSC-NAME,NUM-SCHLS,NUM-PUPS,APS,PERC-DISADV,PERC-SEN,PERC-EAL,NUM-SCHLS-PROG-TOTAL,NUM-SCHLS-PROG-CONVTR,NUM-SCHLS-PROG-SPONSRD,NUM-SCHLS-PROG-FREE-UTC-STUD,NUM-SCHLS-PROG-OPEN-1-YRS,NUM-SCHLS-PROG-OPEN-2-YRS,NUM-SCHLS-PROG-OPEN-3-YRS,NUM-SCHLS-PROG-OPEN-4-YRS,NUM-SCHLS-PROG-OPEN-5PLUS-YRS,MAT-PROG-READ-DESC,MAT-PROG-READ-SCORE,MAT-PROG-READ-CI-LOWER,MAT-PROG-READ-CI-UPPER,MAT-DIS-PROG-READ-DESC,MAT-DIS-PROG-READ-SCORE,MAT-DIS-PROG-READ-CI-LOWER,MAT-DIS-PROG-READ-CI-UPPER,MAT-PROG-WRITE-DESC,MAT-PROG-WRITE-SCORE,MAT-PROG-WRITE-CI-LOWER,MAT-PROG-WRITE-CI-UPPER,MAT-DIS-PROG-WRITE-DESC,MAT-DIS-PROG-WRITE-SCORE,MAT-DIS-PROG-WRITE-CI-LOWER,MAT-DIS-PROG-WRITE-CI-UPPER,MAT-PROG-MATH-DESC,MAT-PROG-MATH-SCORE,MAT-PROG-MATH-CI-LOWER,MAT-PROG-MATH-CI-UPPER,MAT-DIS-PROG-MATH-DESC,MAT-DIS-PROG-MATH-SCORE,MAT-DIS-PROG-MATH-CI-LOWER,MAT-DIS-PROG-MATH-CI-UPPER,SCHOOL-URNS
TR01987,4609,Multi-academy trust,The Spencer Academies Trust,East Midlands and Humber,5,228,14.9,47.4,0.9,14,5,1,4,0,0,0,3,1,1,Significantly above average,1.3,0.5,2.1,Significantly above average,1.4,0.2,2.7,Significantly above average,1.8,1.1,2.6,Significantly above average,2.3,1.1,3.6,Significantly above average,2,1.3,2.8,Significantly above average,1.9,0.7,3,138443;140071;140548;140550;140613
TR02200,4850,Multi-academy trust,The Stour Academy Trust,South East and South London,3,81,16.7,39.5,2.5,2.5,3,2,1,0,0,0,1,0,2,Significantly below average,-1.9,-3.2,-0.5,Close to average,-0.8,-3.2,1.5,Close to average,-0.1,-1.4,1.2,Close to average,0.1,-2.2,2.4,Close to average,-0.1,-1.3,1.1,Close to average,-0.1,-2.2,2.1,138579;138738;141308
TR02369,5186,Multi-academy trust,The Village Academy,South East and South London,4,94,15.4,33,2.1,4.3,4,2,2,0,0,0,1,1,2,Close to average,0.4,-0.9,1.7,Close to average,-0.8,-3.1,1.6,Close to average,-1.1,-2.3,0.1,Close to average,-0.7,-3,1.6,Significantly below average,-1.7,-2.8,-0.5,Significantly below average,-3.3,-5.5,-1.1,137481;137483;139810;140345
TR02468,5315,Multi-academy trust,The White Horse Federation,South West,7,268,16,27.2,0.7,34.3,7,6,1,0,0,0,3,0,4,Significantly above average,0.9,0.2,1.7,Significantly above average,2.1,0.5,3.6,Significantly above average,0.8,0.1,1.6,Close to average,1.1,-0.4,2.6,Significantly above average,1.6,0.9,2.3,Significantly above average,2.6,1.1,4,138305;138306;138308;138309;140264;140685;141273
TR02491,5348,Multi-academy trust,The Williamson Trust,South East and South London,3,99,15,44.4,10.1,2,3,1,2,0,0,0,0,1,2,Significantly below average,-3.1,-4.3,-1.9,Significantly below average,-4.8,-6.8,-2.7,Significantly below average,-1.6,-2.8,-0.4,Significantly below average,-4,-6,-2,Significantly below average,-3,-4.1,-1.9,Significantly below average,-4.6,-6.5,-2.8,137990;138504;139939
TR02553,5426,Multi-academy trust,The Wythenshawe Catholic Academy Trust,Lancashire and West Yorkshire,3,150,15.2,53.3,0.7,30,3,3,0,0,0,0,1,2,0,Close to average,0,-1,1,Close to average,-0.4,-1.9,1.1,Close to average,0.5,-0.5,1.5,Close to average,0.3,-1.2,1.8,Significantly above average,2.1,1.2,3,Close to average,0.7,-0.6,2.1,139458;139467;140758
TR02331,5125,Multi-academy trust,Tudhoe Learning Trust,North,3,89,14.6,51.7,1.1,0,3,1,2,0,0,0,0,3,0,Close to average,0.8,-0.5,2.1,Significantly above average,1.5,-0.4,3.5,Significantly above average,3.7,2.4,5,Significantly above average,3.6,1.7,5.5,Significantly above average,2,0.8,3.1,Significantly above average,2.6,0.9,4.4,138555;138556;138557
TR02343,5143,Multi-academy trust,United Learning Trust,National Lead,14,708,15.2,52,2.3,25.3,14,3,11,0,0,0,3,6,5,Significantly below average,-1.9,-2.3,-1.4,Significantly below average,-2.1,-2.8,-1.4,Significantly below average,-0.9,-1.3,-0.4,Significantly below average,-1.4,-2.1,-0.7,Significantly below average,-1.2,-1.6,-0.8,Significantly below average,-1.7,-2.3,-1,135296;135364;135966;137910;138413;139065;139404;139585;139712;139742;139768;139824;140400;140661
SP00597,5151,School sponsor,University of Brighton (Hastings Academies Trust),South East and South London,5,239,14.9,52.7,2.1,4.2,5,3,2,0,0,0,5,0,0,Significantly below average,-1.4,-2.2,-0.6,Close to average,-1.6,-2.8,-0.4,Close to average,-0.6,-1.4,0.2,Close to average,-0.8,-2,0.4,Significantly below average,-0.8,-1.6,-0.1,Significantly below average,-1.5,-2.6,-0.5,140179;140493;141261;141262;141263
TR02348,5153,Multi-academy trust,University of Chichester (Multi) Academy Trust,South East and South London,5,151,15.3,46.4,5.3,9.3,5,2,3,0,0,0,4,1,0,Close to average,-0.4,-1.4,0.6,Close to average,-0.1,-1.6,1.5,Significantly below average,-3.2,-4.1,-2.2,Significantly below average,-3.2,-4.7,-1.6,Close to average,-0.8,-1.7,0.2,Close to average,-1.2,-2.7,0.2,139944;140211;140719;141181;141266
TR01677,4243,Multi-academy trust,VENTRUS LIMITED,South West,8,238,15.9,29,2.1,1.7,8,7,1,0,0,0,0,2,6,Close to average,0.8,0,1.6,Close to average,0.6,-1,2.2,Close to average,0.5,-0.3,1.3,Close to average,-0.1,-1.6,1.5,Significantly below average,-0.9,-1.6,-0.1,Close to average,-1.3,-2.7,0.2,137644;137647;137649;137651;137654;137659;139019;140078
TR02367,5183,Multi-academy trust,Victoria Academies Trust,West Midlands,3,178,15.3,52.8,1.7,57.3,3,2,1,0,0,0,2,0,1,Close to average,0.6,-0.3,1.6,Significantly above average,0.8,-0.6,2.1,Significantly above average,2.2,1.3,3.1,Significantly above average,2.4,1,3.8,Significantly above average,1.6,0.8,2.5,Significantly above average,1.7,0.4,2.9,138033;140996;141292
TR02376,5195,Multi-academy trust,Wakefield City Academies Trust,Lancashire and West Yorkshire,5,205,14.7,46.3,2,10.7,5,0,5,0,0,0,4,1,0,Significantly below average,-1.3,-2.2,-0.4,Close to average,-1.5,-2.9,-0.2,Significantly above average,1.8,0.9,2.6,Significantly above average,1.7,0.4,3.1,Significantly below average,-1.3,-2,-0.5,Significantly below average,-2.4,-3.6,-1.2,138077;139568;140003;140825;141145
TR02470,5318,Multi-academy trust,White Woods Primary Academy Trust,East Midlands and Humber,3,91,16.7,39.6,1.1,18.7,3,3,0,0,0,0,0,3,0,Significantly below average,-1.3,-2.5,0,Close to average,-1.1,-3.3,1.1,Significantly above average,1.9,0.7,3.1,Significantly above average,2.6,0.5,4.8,Significantly above average,1.5,0.3,2.6,Significantly above average,3.6,1.6,5.6,140109;140115;140116
TR02510,5370,Multi-academy trust,Wise Academies,North,4,156,15.8,66.7,0.6,6.4,4,2,2,0,0,0,0,1,3,Close to average,-0.3,-1.3,0.7,Close to average,-0.4,-1.7,0.9,Significantly above average,1.3,0.4,2.3,Significantly above average,1.1,-0.2,2.4,Close to average,0.9,0,1.8,Close to average,0.6,-0.6,1.7,136486;136487;138577;138976
TR02526,5396,Multi-academy trust,The Woodland Academy Trust,South East and South London,3,112,15.8,53.6,2.7,17.9,3,2,1,0,0,0,0,0,3,Significantly below average,-2.4,-3.6,-1.2,Significantly below average,-2.7,-4.4,-0.9,Significantly above average,1.4,0.3,2.6,Significantly above average,2.1,0.4,3.9,Significantly below average,-1.5,-2.5,-0.4,Close to average,-1.9,-3.5,-0.3,136932;137380;137417
